video_duration_s,video_width,video_height,video_fps,video_nb_frames,video_bitrate,video_file_size,video_aspect_ratio,face_detect_ratio,face_area_mean,face_area_std,blink_ratio,head_motion_mean,mouth_open_mean,au04_brow_furrow_proxy_mean,au04_brow_furrow_proxy_std,au12_smile_proxy_mean,speech_frame_ratio,speech_au04_brow_furrow_proxy_mean,speech_au12_smile_proxy_mean,speech_mouth_open_mean,speech_head_motion_mean,gaze_horizontal_abs_mean,gaze_vertical_abs_mean,gaze_offcenter_ratio,speech_gaze_horizontal_abs_mean,speech_gaze_vertical_abs_mean,speech_gaze_offcenter_ratio,openface_available,openface_conf_mean,openface_success_ratio,openface_au04_r_mean,openface_au04_c_mean,openface_au12_r_mean,openface_au12_c_mean,openface_gaze_angle_x_mean,openface_gaze_angle_y_mean,openface_gaze_offcenter_ratio,openface_pose_rx_mean,openface_pose_ry_mean,openface_pose_rz_mean,openface_speech_au04_r_mean,openface_speech_au12_r_mean,openface_speech_gaze_angle_x_mean,openface_speech_gaze_angle_y_mean,openface_pause_au04_r_mean,openface_pause_au12_r_mean,openface_pause_gaze_angle_x_mean,openface_pause_gaze_angle_y_mean,openface_speech_pause_au04_r_gap,openface_speech_pause_au12_r_gap,openface_speech_pause_gaze_x_gap,openface_speech_pause_gaze_y_gap,split,user_id,question_id
73.39,640.0,480.0,30.0,2201.0,501704.0,5852525.0,1.3333333333333333,1.0,0.09625713638742656,0.003102624530256305,0.11171662125340599,0.017201123772622676,0.03635107466049964,7.547931598747296,1.013282770460756,0.3403019941340945,0.8991825613079019,7.558805258986579,0.3396848745885443,0.03665948337815887,0.016390732427396842,0.048066403223258974,1.6494606424619749,0.10626702997275204,0.04743943873365693,1.808339721870416,0.10303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,5484821efdf99b07b28f2300,q1
53.02,640.0,480.0,30.0,1590.0,517743.0,4335524.0,1.3333333333333333,1.0,0.09765655581934975,0.002895785317615724,0.04150943396226415,0.027454032875889437,0.04535307869564262,8.086348869132106,0.7985102920964224,0.3666417048235342,0.7471698113207547,8.055523909878682,0.36005594250456285,0.04403777426217531,0.02865781442859262,0.041342725367114405,0.25074942595392147,0.04905660377358491,0.04266046792061141,0.29480355468343855,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,5484821efdf99b07b28f2300,q2
65.69,640.0,480.0,30.0,1970.0,508810.0,5296368.0,1.3333333333333333,1.0,0.09280399857901225,0.004593503863093285,0.0972644376899696,0.0295519394060631,0.04645218580063328,7.242070234436649,0.8725634368558267,0.3686699989058579,0.7659574468085106,7.238719383512435,0.3689465541513905,0.049422840393654986,0.02794162093405093,0.07483290277697727,0.19465284608156475,0.1033434650455927,0.07243622231542363,0.18991451330750994,0.0873015873015873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,5484821efdf99b07b28f2300,q3
72.69,640.0,480.0,30.0,2180.0,520241.0,5966476.0,1.3333333333333333,1.0,0.09206378782691121,0.002650056649016485,0.038461538461538464,0.032482702985518926,0.055171914673371056,7.91872629251522,0.7691500290223103,0.37454075324186137,0.9175824175824175,7.94567658141599,0.37357707420673875,0.05428526379761349,0.03315979663441902,0.05028853004704122,0.17124195530730982,0.04120879120879121,0.04773029001617356,0.17960222250067212,0.038922155688622756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,5484821efdf99b07b28f2300,q4
67.86,640.0,480.0,30.0,2035.0,515301.0,5526236.0,1.3333333333333333,1.0,0.09316100824060734,0.003705487762710914,0.06764705882352941,0.036531947718613414,0.055005010623830744,7.432735863209374,0.9646042159313211,0.38844124286245807,0.9647058823529412,7.426876088237139,0.3891522069971386,0.0552175179310872,0.0365841814482233,0.07378588997941699,0.5694213361608185,0.06470588235294118,0.07543780949776417,0.5873324136265008,0.06707317073170732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,5484821efdf99b07b28f2300,q5
56.89,640.0,480.0,30.0,1706.0,506668.0,4570981.0,1.3333333333333333,1.0,0.09405670443725477,0.0045532624252874925,0.11578947368421053,0.026802191178957782,0.0409400270186046,7.95567316060146,1.2459323187960694,0.3635949010351058,0.8701754385964913,8.047634318412086,0.3644231948951506,0.04235689185611094,0.026864187088094016,0.06033220890720107,0.513014550956512,0.11228070175438597,0.06263869716410557,0.5561560320364506,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,5484821efdf99b07b28f2300,q6
132.12,640.0,480.0,30.0,3963.0,532876.0,11055556.0,1.3333333333333333,1.0,0.08605770127656433,0.007438923495779512,0.09833585476550681,0.05516319383146387,0.04691113351892396,7.180626824362344,0.854957447441805,0.41194061933182535,0.8078668683812406,7.151088006637123,0.41357541940484177,0.047786652087913314,0.054851866711314125,0.08959595316795067,0.16366255562270696,0.11497730711043873,0.08831750599162025,0.15908159657728893,0.11235955056179775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,549b8ef4fdf99b4ffa5fa0c9,q1
148.29,640.0,480.0,30.0,4448.0,520260.0,12176720.0,1.3333333333333333,0.9986522911051213,0.08105886285705868,0.006483861158478377,0.07827260458839407,0.07082725730997465,0.03956243149365457,7.2310183410928515,0.7929882271033789,0.4100759090577878,0.7452830188679245,7.214045915995172,0.41144676280730075,0.04181064196882005,0.0724337402386637,0.10493036217116712,0.14274842534761092,0.10526315789473684,0.09542916336181238,0.14469962997966332,0.09782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,549b8ef4fdf99b4ffa5fa0c9,q2
147.59,640.0,480.0,30.0,4427.0,542253.0,12524690.0,1.3333333333333333,0.9959349593495935,0.08577619264789706,0.0069236416040775435,0.08707482993197278,0.07398770084399556,0.041235729199027564,7.055280206062478,0.8249893016909715,0.39557820047546194,0.8509485094850948,7.050393287710012,0.3962411574512471,0.04216494360712244,0.075412694623504,0.0784496370539275,0.17720976912781405,0.09795918367346938,0.07751453024317993,0.16105053341309158,0.0864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,549b8ef4fdf99b4ffa5fa0c9,q3
165.39,640.0,480.0,30.0,4961.0,520498.0,13585911.0,1.3333333333333333,0.9963724304715841,0.08647324026453293,0.007237103941007171,0.04975728155339806,0.06392514307258709,0.040915112402941343,7.143697688098758,0.8793769734198177,0.3935579722637828,0.8573155985489722,7.1737430314009,0.3937548735795265,0.04118770937029242,0.06647150885215208,0.08907811230577346,0.16190931062530514,0.08980582524271845,0.09101811130941952,0.16390362609185047,0.09490084985835694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,549b8ef4fdf99b4ffa5fa0c9,q4
